Station_Name,F1,TFR,FFR,MFR,FRI,Count,lat,lon,height
0VEN,0.7282229965156795,0.836,0.11397423191278494,0.164,0.12390786338363781,1259,60.952648306,13.908605315999978,318.0659835
0VRI,0.7293506493506493,0.836212030970816,0.15837290935370638,0.16378796902918405,0.1597669426556271,6522,66.431519368,20.62623008499997,142.4359831
0YTT,0.691562278421177,0.8288951841359773,0.2108471725877654,0.17110481586402265,0.20009199632014718,6522,63.318168951,14.168367293000015,338.9908497
1ASA,0.7643196739868688,0.9188894937397931,0.1903948772678762,0.08111050626020685,0.15961361545538177,6522,58.241714755,12.423083272999977,112.7335249
1GIM,0.7021777516185991,0.8419195483415667,0.15435847208619,0.15808045165843332,0.1551671266482674,6522,60.172801242,18.169957527000008,46.4198885
1IDR,0.6883568651524453,0.9028448738593666,0.28804464477355657,0.09715512614063339,0.23351732597362773,6522,61.8577507,12.713272695,493.1344083
1LAT,0.6712856043110085,0.8210922787193974,0.1348497156783103,0.17890772128060264,0.14266622118275976,2993,65.382515587,20.339151949999973,361.676467
1LIN,0.7126379137412236,0.8717791411042944,0.19248151191454396,0.12822085889570553,0.17636195752539244,6498,60.331756154,14.525482366000006,295.601168
1LUG,0.7475258918296893,0.8869470234844348,0.18972500532935407,0.11305297651556527,0.1681999386691199,6522,58.642138919,13.692644975999997,95.9682421
1ROB,0.6722647567300568,0.8630310716550412,0.2257671205039626,0.13696892834495877,0.20421668205601723,6498,56.207212485,15.285529230000009,70.5641571
1SSJ,0.5684848484848485,0.8257042253521126,0.3111675126903553,0.1742957746478873,0.2805358550039401,2538,67.488381247,18.34132213300001,424.2646921
2HER,0.7636925795053003,0.9250936329588015,0.19987105093488072,0.0749063670411985,0.16406010426249618,6522,58.076184055,13.018045520999976,146.1511949
2SKV,0.7578609134725728,0.9071428571428571,0.1893971782813168,0.09285714285714286,0.162357648507233,6498,58.387356647,13.840113592000025,209.0741951
8SKE,0.6998264893001735,0.9084084084084084,0.20492170022371364,0.0915915915915916,0.17890382626680454,5802,64.879207291,21.048156532000007,81.4761599
ACER,0.0,0.0,0.0,0.0,1.0,82,40.786657985,15.942362892000006,764.7072241
ACHU,0.785529715762274,0.8735632183908046,0.09651898734177215,0.12643678160919541,0.10297766749379653,806,47.124445632,3.680338274999997,327.2140623
ACQ1,0.6874708896134141,0.7584789311408017,0.12344280860702152,0.24152106885919836,0.14894561598224196,4505,42.743975119,11.864793831999975,449.7147562
ADY1,0.7717647058823529,0.8913043478260869,0.25245901639344265,0.10869565217391304,0.1983640081799591,978,37.760583557,38.261242650999975,741.1563987
AFAL,0.6758620689655171,0.6901408450704225,0.11904761904761904,0.30985915492957744,0.16725978647686832,281,46.527143029,12.174515489999976,2284.0802404
AGN2,0.6612758310871518,0.9292929292929293,0.25493060628195763,0.0707070707070707,0.21359773371104815,1765,44.172382371,0.611635098000022,113.7953642
AIO2,0.5449218749999999,0.808695652173913,0.11872959335114278,0.19130434782608696,0.1254711900915455,3714,39.061356722,-1.059182936,662.8651205
AKSR,0.6451612903225806,0.8095238095238095,0.2916666666666667,0.19047619047619047,0.2619047619047619,714,38.370390773,33.998149522999995,1005.8673544
ALCO,0.5397859469520707,0.7483870967741936,0.13815903949886899,0.25161290322580643,0.15164060104262497,6522,38.697987274,-0.473543953,640.1206915
ALIG,0.6038834951456312,0.8371467025572006,0.2637571157495256,0.16285329744279947,0.24156305506216696,3378,42.104647115,43.649014178000016,838.1731659
ALMZ,0.6686746987951807,0.8473282442748091,0.16100178890876565,0.15267175572519084,0.15942028985507245,690,41.503123891,-2.538966951,1012.1376566
ALOR,0.5114503816793894,0.43790849673202614,0.0626865671641791,0.5620915032679739,0.15552855407047386,1646,39.934361632,4.140156337999997,189.5311072
AMA1,0.702439024390244,0.8022284122562674,0.06001734605377277,0.1977715877437326,0.07527379299706925,6483,38.208704082,-7.227874492,266.1322118
